HS Code,Unit
1012100,UNT
1012900,UNT
10130,
10130100,UNT
10130900,UNT
1019000,UNT
1022100,UNT
10229,
10229110,UNT
10229190,UNT
10229900,UNT
1023100,UNT
1023900,UNT
10290,
10290100,UNT
10290900,UNT
1031000,UNT
10410,
10410100,UNT
10410900,UNT
10420,
10420100,UNT
10420900,UNT
10511,
10511100,UNT
10512,
10512100,UNT
10512900,UNT
10513,
10513100,UNT
10513900,UNT
10514,
10514100,UNT
10514900,UNT
10515,
10515100,UNT
10515900,UNT
10594,
10594100,UNT
10594490,UNT
10594990,UNT
10599,
10599100,UNT
10599200,UNT
10599300,UNT
10599400,UNT
1061100,UNT
10612,
10612100,UNT
10612200,UNT
1061300,UNT
1061400,UNT
1061900,UNT
1062000,UNT
1063100,UNT
1063200,UNT
1063300,UNT
1063900,UNT
1064100,UNT
1064900,UNT
1069000,UNT
2011000,KGM
2012000,KGM
2013000,KGM
2021000,KGM
2022000,KGM
2023000,KGM
2031200,KGM
2031900,KGM
2032200,KGM
2032900,KGM
2041000,KGM
2042100,KGM
2042200,KGM
2042300,KGM
2043000,KGM
2044100,KGM
2044200,KGM
2044300,KGM
2045000,KGM
205000,KGM
2061000,KGM
2062100,KGM
2062200,KGM
2062900,KGM
2063000,KGM
2064100,KGM
2064900,KGM
2068000,KGM
2069000,KGM
20714,
2072400,KGM
2072500,KGM
2072600,KGM
20727,
20727100,KGM
20727910,KGM
20727990,KGM
2074100,KGM
2074200,KGM
2074300,KGM
2074400,KGM
20745,
020745100,KGM
20745900,KGM
2075100,KGM
2075200,KGM
2075300,KGM
2075400,KGM
20755,
020755100,KGM
20755900,KGM
20760,
020760100,KGM
20760200,KGM
20760300,KGM
20760400,KGM
2081000,KGM
2083000,KGM
20840,
020840100,KGM
20840900,KGM
2085000,KGM
2086000,KGM
20890,
020890100,KGM
20890900,KGM
2091000,KGM
2099000,KGM
2101100,KGM
2101200,KGM
21019,
021019300,KGM
21019900,KGM
2102000,KGM
2109100,KGM
21092,
021092100,KGM
21092900,KGM
2109300,KGM
21099,
021099100,KGM
21099200,KGM
21099900,KGM
30111,
030111100,UNT
30111910,UNT
30111920,UNT
30111930,UNT
30111950,UNT
30111990,UNT
30119,
030119100,UNT
30119900,UNT
3019100,KGM
3019200,KGM
30193,
030193210,KGM
30193220,KGM
30193290,KGM
30193310,KGM
30193320,KGM
30193390,KGM
3019400,KGM
3019500,KGM
30199,
030199110,KGM
30199190,KGM
30199220,KGM
30199230,KGM
30199240,KGM
30199290,KGM
30199310,KGM
30199320,KGM
30199330,KGM
30199340,KGM
30199350,KGM
30199360,KGM
30199410,KGM
30199420,KGM
30199490,KGM
30199500,KGM
30199900,KGM
3021100,KGM
3021300,KGM
3021400,KGM
3021900,KGM
3022100,KGM
3022200,KGM
3022300,KGM
3022400,KGM
3022900,KGM
3023100,KGM
3023200,KGM
3023300,KGM
3023400,KGM
3023500,KGM
3023600,KGM
3023900,KGM
3024100,KGM
3024200,KGM
3024300,KGM
3024400,KGM
3024500,KGM
3024600,KGM
3024700,KGM
3024900,KGM
3025100,KGM
3025200,KGM
3025300,KGM
3025400,KGM
3025500,KGM
3025600,KGM
3025900,KGM
3027100,KGM
30272,
030272100,KGM
30272900,KGM
3027300,KGM
3027400,KGM
3027900,KGM
3028100,KGM
3028200,KGM
3028300,KGM
3028400,KGM
3028500,KGM
30289,
030289110,KGM
30289120,KGM
30289130,KGM
30289140,KGM
30289150,KGM
30289160,KGM
30289170,KGM
30289180,KGM
30289190,KGM
30289220,KGM
30289230,KGM
30289270,KGM
30289280,KGM
30289290,KGM
3029100,KGM
3029200,KGM
3029900,KGM
3031100,KGM
3031200,KGM
3031300,KGM
3031400,KGM
3031900,KGM
3032300,KGM
3032400,KGM
3032500,KGM
3032600,KGM
3032900,KGM
3033100,KGM
3033200,KGM
3033300,KGM
3033400,KGM
3033900,KGM
3034100,KGM
3034200,KGM
3034300,KGM
3034400,KGM
30345,
030345100,KGM
30345900,KGM
3034600,KGM
30349,
030349100,KGM
30349900,KGM
3035100,KGM
3035300,KGM
30354,
030354100,KGM
30354200,KGM
3035500,KGM
3035600,KGM
3035700,KGM
30359,
030359100,KGM
30359200,KGM
30359900,KGM
3036300,KGM
3036400,KGM
3036500,KGM
3036600,KGM
3036700,KGM
3036800,KGM
3036900,KGM
3038100,KGM
3038200,KGM
3038300,KGM
3038400,KGM
30389,
030389110,KGM
30389130,KGM
30389140,KGM
30389150,KGM
30389160,KGM
30389170,KGM
30389180,KGM
30389190,KGM
30389220,KGM
30389230,KGM
30389240,KGM
30389270,KGM
30389280,KGM
30389290,KGM
3039100,KGM
3039200,KGM
3039900,KGM
3043100,KGM
3043200,KGM
3043300,KGM
3043900,KGM
3044100,KGM
3044200,KGM
3044300,KGM
3044400,KGM
3044500,KGM
3044600,KGM
3044700,KGM
3044800,KGM
3044900,KGM
3045100,KGM
3045200,KGM
3045300,KGM
3045400,KGM
3045500,KGM
3045600,KGM
3045700,KGM
3045900,KGM
3046100,KGM
3046200,KGM
3046300,KGM
3046900,KGM
3047100,KGM
3047200,KGM
3047300,KGM
3047400,KGM
3047500,KGM
3047900,KGM
3048100,KGM
3048200,KGM
3048300,KGM
3048400,KGM
3048500,KGM
3048600,KGM
3048700,KGM
3048800,KGM
30489,
030489100,KGM
30489900,KGM
3049100,KGM
3049200,KGM
3049300,KGM
3049400,KGM
3049500,KGM
3049600,KGM
3049700,KGM
30499,
030499100,KGM
30499900,KGM
30520,
030520100,KGM
30520900,KGM
3053100,KGM
3053200,KGM
30539,
030539100,KGM
30539200,KGM
30539910,KGM
30539920,KGM
30539990,KGM
3054100,KGM
3054200,KGM
3054300,KGM
3054400,KGM
30549,
030549100,KGM
30549900,KGM
3055100,KGM
3055200,KGM
3055300,KGM
3055400,KGM
30559,
030559210,KGM
30559290,KGM
30559900,KGM
3056100,KGM
3056200,KGM
3056300,KGM
3056400,KGM
30569,
030569100,KGM
30569900,KGM
30571,
030571100,KGM
30571900,KGM
30572,
030572110,KGM
30572190,KGM
30572910,KGM
30572990,KGM
30579,
030579100,KGM
30579900,KGM
30611,
030611100,KGM
30611900,KGM
30612,
030612100,KGM
30612900,KGM
30614,
030614110,KGM
30614190,KGM
30614910,KGM
30614920,KGM
30614930,KGM
30614990,KGM
3061500,KGM
3061600,KGM
30617,
030617110,KGM
30617190,KGM
30617210,KGM
30617220,KGM
30617290,KGM
30617300,KGM
30617900,KGM
3061900,KGM
30631,
030631100,KGM
30631200,KGM
30631300,KGM
30632,
030632100,KGM
30632200,KGM
30632300,KGM
30633,
030633110,KGM
30633120,KGM
30633910,KGM
30633920,KGM
3063400,KGM
30635,
030635100,KGM
30635200,KGM
30635300,KGM
30636,
030636110,KGM
30636120,KGM
30636130,KGM
30636190,KGM
30636210,KGM
30636220,KGM
30636230,KGM
30636290,KGM
30636310,KGM
30636320,KGM
30636330,KGM
30636390,KGM
30639,
030639100,KGM
30639200,KGM
30691,
030691210,KGM
30691290,KGM
30691310,KGM
30691390,KGM
30692,
030692210,KGM
30692290,KGM
30692310,KGM
30692390,KGM
30693,
030693210,KGM
30693290,KGM
30693310,KGM
30693390,KGM
30694,
030694210,KGM
30694290,KGM
30694310,KGM
30694390,KGM
30695,
030695210,KGM
30695290,KGM
30695300,KGM
30699,
030699210,KGM
30699290,KGM
30699310,KGM
30699390,KGM
30711,
030711100,KGM
30711200,KGM
3071200,KGM
30719,
030719200,KGM
30719300,KGM
30721,
030721100,KGM
30721200,KGM
3072200,KGM
30729,
030729300,KGM
30729400,KGM
30731,
030731100,KGM
30731200,KGM
3073200,KGM
30739,
030739300,KGM
30739400,KGM
30742,
030742110,KGM
30742190,KGM
30742210,KGM
30742290,KGM
30743,
030743100,KGM
30743900,KGM
30749,
030749210,KGM
30749290,KGM
30749310,KGM
30749390,KGM
30751,
030751100,KGM
30751200,KGM
3075200,KGM
30759,
030759200,KGM
30759300,KGM
30760,
030760100,KGM
30760200,KGM
30760400,KGM
30760500,KGM
30771,
030771100,KGM
30771200,KGM
3077200,KGM
30779,
030779300,KGM
30779400,KGM
30781,
030781100,KGM
30781200,KGM
30782,
030782100,KGM
30782200,KGM
3078300,KGM
3078400,KGM
30787,
030787100,KGM
30787200,KGM
30788,
030788100,KGM
30788200,KGM
30791,
030791100,KGM
30791200,KGM
3079200,KGM
30799,
030799300,KGM
30799400,KGM
30811,
030811100,KGM
30811200,KGM
3081200,KGM
30819,
030819200,KGM
30819300,KGM
30821,
030821100,KGM
30821200,KGM
3082200,KGM
30829,
030829200,KGM
30829300,KGM
30830,
030830100,KGM
30830200,KGM
30830300,KGM
30830400,KGM
30830500,KGM
30890,
030890100,KGM
30890200,KGM
30890300,KGM
30890400,KGM
30890500,KGM
3091000,KGM
30990,
030990110,KGM
30990120,KGM
30990190,KGM
30990210,KGM
30990220,KGM
30990290,KGM
30990900,KGM
40110,
040110900,KGM
40120,
040120900,KGM
40140,
040140200,KGM
40140900,KGM
40150,
040150100,KGM
40150900,KGM
40210,
040210410,KGM
40210420,KGM
40210490,KGM
40210910,KGM
40210920,KGM
40210990,KGM
40221,
040221200,KGM
40221300,KGM
40221900,KGM
40229,
040229200,KGM
40229300,KGM
40229900,KGM
4029100,KGM
4029900,KGM
40320,
040320110,KGM
40320190,KGM
40320910,KGM
40320990,KGM
40390,
040390100,KGM
40390900,KGM
40410,
040410110,KGM
40410190,KGM
40410910,KGM
40410990,KGM
4049000,KGM
4051000,KGM
4052000,KGM
40590,
040590100,KGM
40590200,KGM
40590300,KGM
40590900,KGM
40610,
040610100,KGM
40610200,KGM
40620,
040620100,KGM
40620900,KGM
4063000,KGM
4064000,KGM
4069000,KGM
40711,
040719,
040719910,100u
40719990,100u
40729,
040729900,100u
40790,
040790900,100u
4081100,KGM
4081900,KGM
4089100,KGM
4089900,KGM
409000,KGM
4101000,KGM
41090,
041090100,KGM
41090200,KGM
41090900,KGM
501000,KGM
5021000,KGM
5029000,KGM
504000,KGM
50510,
050510100,KGM
50510900,KGM
50590,
050590100,KGM
50590900,KGM
5061000,KGM
5069000,KGM
5071000,KGM
50790,
050790200,KGM
50790900,KGM
5080,
5080200,KGM
5080900,KGM
510000,KGM
5111000,KGM
51191,
051191100,KGM
51191200,KGM
51191300,KGM
51191900,KGM
51199,
051199100,KGM
51199200,KGM
51199300,KGM
51199900,KGM
6011000,UNT
60120,
060120100,UNT
60120200,UNT
60120900,UNT
60210,
060210100,UNT
60210200,UNT
60210900,UNT
6022000,UNT
6023000,UNT
6024000,UNT
60290,
060290100,KGM
60290200,KGM
60290400,KGM
60290500,KGM
60290600,KGM
60290900,KGM
6031100,KGM
6031200,KGM
6031300,KGM
6031400,KGM
6031500,KGM
6031900,KGM
6039000,KGM
60420,
060420100,KGM
60420900,KGM
60490,
060490100,KGM
60490900,KGM
7011000,KGM
70190,
070190100,KGM
70190900,KGM
702000,KGM
70310,
070310110,KGM
70310190,KGM
70310210,KGM
70310290,KGM
70320,
070320100,KGM
70320900,KGM
70390,
070390100,KGM
70390900,KGM
70410,
070410100,KGM
70410200,KGM
70410900,KGM
7042000,KGM
70490,
070490200,KGM
70490300,KGM
70490900,KGM
7051100,KGM
7051900,KGM
7052100,KGM
7052900,KGM
70610,
070610100,KGM
70610200,KGM
7069000,KGM
707000,KGM
7081000,KGM
70820,
070820100,KGM
70820200,KGM
70820900,KGM
7089000,KGM
7092000,KGM
7093000,KGM
7094000,KGM
7095100,KGM
7095200,KGM
7095300,KGM
7095400,KGM
7095500,KGM
7095600,KGM
70959,
070959200,KGM
70959900,KGM
70960,
070960100,KGM
70960900,KGM
7097000,KGM
7099100,KGM
7099200,KGM
7099300,KGM
70999,
070999100,KGM
70999200,KGM
70999900,KGM
7101000,KGM
7102100,KGM
7102200,KGM
7102900,KGM
7103000,KGM
7104000,KGM
7108000,KGM
7109000,KGM
71120,
071120100,KGM
71120900,KGM
71140,
071140100,KGM
71140900,KGM
71151,
071151100,KGM
71151900,KGM
71159,
071159100,KGM
71159900,KGM
71190,
071190100,KGM
71190200,KGM
71190300,KGM
71190400,KGM
71190500,KGM
71190600,KGM
71190900,KGM
7122000,KGM
7123100,KGM
7123200,KGM
7123300,KGM
7123400,KGM
71239,
071239100,KGM
71239900,KGM
71290,
071290100,KGM
71290200,KGM
71290900,KGM
71310,
071310100,KGM
71310900,KGM
71320,
071320100,KGM
71320900,KGM
71331,
071331100,KGM
71331900,KGM
71332,
071332100,KGM
71332900,KGM
71333,
071333100,KGM
71333900,KGM
71334,
071334100,KGM
71334900,KGM
71335,
071335100,KGM
71335900,KGM
71339,
071339100,KGM
71339900,KGM
71340,
071340100,KGM
71340900,KGM
71350,
071350100,KGM
71350900,KGM
71360,
071360100,KGM
71360900,KGM
71390,
071390100,KGM
71390900,KGM
71410,
071410110,KGM
71410190,KGM
71410910,KGM
71410990,KGM
71420,
071420100,KGM
71420900,KGM
71430,
071430100,KGM
71430900,KGM
71440,
071440100,KGM
71440900,KGM
71450,
071450100,KGM
71450900,KGM
71490,
071490110,KGM
71490190,KGM
71490910,KGM
71490990,KGM
8011100,KGM
8011200,KGM
80119,
080119100,KGM
80119900,KGM
8012100,KGM
8012200,KGM
8013100,KGM
8013200,KGM
8021100,KGM
80212,
080212100,KGM
80212900,KGM
8022100,KGM
8022200,KGM
8023100,KGM
8023200,KGM
8024100,KGM
8024200,KGM
8025100,KGM
8025200,KGM
8026100,KGM
8026200,KGM
8027000,KGM
8028000,KGM
8029100,KGM
8029200,KGM
8029900,KGM
80310,
080310100,KGM
80310200,KGM
80390,
080390100,KGM
80390200,KGM
80390300,KGM
80390900,KGM
8041000,KGM
8042000,KGM
8043000,KGM
8044000,KGM
80450,
080450100,KGM
80450210,KGM
80450220,KGM
80450300,KGM
80510,
080510100,KGM
80510200,KGM
8052100,KGM
8052200,KGM
8052900,KGM
8054000,KGM
80550,
080550100,KGM
80550200,KGM
8059000,KGM
8061000,KGM
8062000,KGM
8071100,KGM
8071900,KGM
8072000,KGM
8081000,KGM
8083000,KGM
8084000,KGM
8091000,KGM
8092100,KGM
8092900,KGM
8093000,KGM
80940,
080940100,KGM
80940200,KGM
8101000,KGM
8102000,KGM
8103000,KGM
8104000,KGM
8105000,KGM
8106000,KGM
8107000,KGM
81090,
081090100,KGM
81090200,KGM
81090300,KGM
81090400,KGM
81090500,KGM
81090600,KGM
81090700,KGM
81090910,KGM
81090920,KGM
81090930,KGM
81090940,KGM
81090990,KGM
8111000,KGM
8112000,KGM
8119000,KGM
8121000,KGM
81290,
081290100,KGM
81290900,KGM
8131000,KGM
8132000,KGM
8133000,KGM
81340,
081340100,KGM
81340200,KGM
81340900,KGM
81350,
081350100,KGM
81350200,KGM
81350300,KGM
81350400,KGM
81350900,KGM
814000,KGM
90111,
090111200,KGM
90111300,KGM
90111900,KGM
90112,
090112200,KGM
90112900,KGM
90121,
090121110,KGM
90121120,KGM
90121190,KGM
90121200,KGM
90122,
090122100,KGM
90122200,KGM
90190,
090190100,KGM
90190200,KGM
90210,
090210100,KGM
90210900,KGM
90220,
090220100,KGM
90220900,KGM
90230,
090230100,KGM
90230900,KGM
90240,
090240100,KGM
90240900,KGM
903000,KGM
90411,
090411100,KGM
90411200,KGM
90411900,KGM
90412,
090412100,KGM
90412200,KGM
90412900,KGM
90421,
090421100,KGM
90421900,KGM
90422,
090422100,KGM
90422900,KGM
9051000,KGM
9052000,KGM
9061100,KGM
9061900,KGM
9062000,KGM
9071000,KGM
9072000,KGM
9081100,KGM
9081200,KGM
9082100,KGM
9082200,KGM
9083100,KGM
9083200,KGM
9092100,KGM
9092200,KGM
9093100,KGM
9093200,KGM
90961,
090961100,KGM
90961200,KGM
90961300,KGM
90961900,KGM
90962,
090962100,KGM
90962200,KGM
90962300,KGM
90962900,KGM
9101100,KGM
9101200,KGM
9102000,KGM
9103000,KGM
91091,
091091100,KGM
91091900,KGM
91099,
091099100,KGM
91099900,KGM
10011100,KGM
10011900,KGM
10019100,KGM
100199,
100199110,KGM
100199120,KGM
100199190,KGM
100199910,KGM
100199990,KGM
10021000,KGM
10029000,KGM
10031000,KGM
10039000,KGM
10041000,KGM
10049000,KGM
10051000,KGM
100590,
100590100,KGM
100590910,KGM
100590990,KGM
100610,
100610100,KGM
100610900,KGM
100620,
100620100,KGM
100620900,KGM
100630,
100630300,KGM
100630400,KGM
100630500,KGM
100630600,KGM
100630700,KGM
100630910,KGM
100630990,KGM
100640,
100640100,KGM
100640900,KGM
10071000,KGM
10079000,KGM
10081000,KGM
10082100,KGM
10082900,KGM
10083000,KGM
10084000,KGM
10085000,KGM
10086000,KGM
10089000,KGM
11010110,KGM
11010190,KGM
11010200,KGM
11022000,KGM
110290,
110290100,KGM
110290200,KGM
110290900,KGM
11031100,KGM
11031300,KGM
110319,
110319100,KGM
110319200,KGM
110319900,KGM
11032000,KGM
11041200,KGM
110419,
110419100,KGM
