Part Name,HSCODE,UOM
BOLT FLG,7318159000,KGM
"BOLT,HEX. SOCKET BUTTON",7318159000,KGM
RIVET,3926904900,KGM
CATALYST 1,8714109000,KGM
AIR FILTER ASSY.,8714109000,KGM
FUEL PUMP COMP.,8413309000,UNIT
"HOSE,FUEL 1",4009429000,KGM
"HOSE,BRAKE 1",4009429000,KGM
CAP ASSY.,8714109000,KGM
SEAT LOCK ASSY.,8714109000,KGM
IGN.COIL ASSY.,8511109000,UNIT
"SW.,HANDLE 3",8536509990,KGM
"SW.,HANDLE 1",8536509990,KGM
FR. STOP SWITCH ASSY.,8536509990,KGM
STOP SWITCH ASSY.,8536509990,KGM
SENDER,9026103000,UNIT
PLUG CAP ASSY.,8536509990,KGM
BAND,8714109000,KGM
"FR. CALIPER ASSY.,RH.",8714109000,KGM
"AXLE,WHEEL FR.",8714109000,KGM
"AXLE,WHEEL RR.",8714109000,KGM
RR BRAKE SHOE COMP SET,8714109000,KGM
"ROD,BRAKE",8714109000,KGM
"SHAFT,PIVOT",8714109000,KGM
LEVER 2,8714109000,KGM
FR. MASTER CYLINDER ASSY.,8714109000,KGM
"CAP,BOLT",8714109000,KGM
"DAMPER,2",8714109000,KGM
"DAMPER,1",8714109000,KGM
ENG. CONT. UNIT ASSY.,8511109000,UNIT
SEAL,4016939010,KGM
"SEAL,OIL",4016939010,KGM
"BOLT,HEX.",7318159000,KGM
"BOLT,FLG.",7318159000,KGM
BOLT,7318159000,KGM
"BOLT,HEX.SOCKET W/WASHER",7318159000,KGM
"BOLT,HEX. W/WASHER",7318159000,KGM
"BOLT,UNION",7318159000,KGM
"BOLT,HEX. SOCKET HEAD",7318159000,KGM
"BOLT,HEX.SOCKET HEAD",7318159000,KGM
BOLT HEX SOCKET HEAD,7318159000,KGM
"BOLT,BUTTON HEAD",7318159000,KGM
"BOLT,FLG(SMALL HEAD)",7318159000,KGM
"BOLT,FLG.(SMALL HEAD)",7318159000,KGM
"BOLT,FLG. (SMALL HEAD)",7318159000,KGM
"BOLT, FLG. (SMALL HEAD)",7318159000,KGM
"BOLT,FLG. DEEP RECESS",7318159000,KGM
"BOLT,HEX",7318159000,KGM
