Item,Invoice No,Product Title,Model Code,Spec Code,Parts No,Parts Name,Net Weight(Kg),Gross Weight(Kg),Quantity,Amount(USD),Form Flag,HS Code
1,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,1PA-E2117-00,"RET.,VALVE SPRING             ",4,5.03,1600,192,FORM-D,84099139
2,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,1PA-E2119-00,"SEAL, VALVE STEM OIL          ",4,5.03,1600,192,FORM-D,84849000
3,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,1PA-E2231-00,"GUIDE,STOPPER 1               ",4,5.03,400,88,FORM-D,84099139
4,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,1PA-E3635-00,"JT.,INTAKE 1                  ",12,15.089,400,204,,
5,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,1PA-E6357-00,"ROD,PUSH                      ",9.2,11.569,400,400,FORM-D,87141090
6,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,1PA-E8531-00,"BAR,SHIFT FORK GUIDE 1        ",20,25.149,400,152,FORM-D,84099139
7,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,1S7-E1133-00,GUIDE VALVE 1,22.88,28.77,1600,352,FORM-D,84099139
8,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,1S7-E2288-01,"CAM,DECOMPR.                  ",0.8,1.006,400,256,FORM-D,84099139
9,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2BM-H592A-10,O2 SENSOR,14,17.604,400,2004,FORM-D,84099139
10,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2ND-E8101-01,SHIFT SHAFT ASSY.,60,75.447,400,892,FORM-D,84836000
11,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E1193-00,"GASKET,HEAD COVER 1           ",1.6,2.012,400,180,FORM-D,84849000
12,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E1311-10,"BODY,CYLINDER 1               ",368.4,463.244,400,2400,FORM-D,84099132
13,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E1361-00,"BOLT,CYLINDER HOLDING 1       ",89.6,112.667,1600,592,FORM-D,73181590
14,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E1611-00,"RING,PISTON TOP 1-1           ",0.8,1.006,400,212,FORM-D,84099139
15,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E1612-00,"RING,PISTON SECOND 1-2        ",0.76,0.956,400,192,FORM-D,84099139
16,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E1614-00,"RING,OIL 1                    ",0.68,0.855,400,188,FORM-D,84099139
17,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E2111-00,"VALVE,1                       ",12.8,16.095,800,568,FORM-D,87141090
18,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E2121-00,"VALVE,2                       ",12,15.089,800,848,FORM-D,87141090
19,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E2241-00,"GUIDE,STOPPER 2               ",8,10.06,400,116,FORM-D,87141090
20,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E2280-00,DECOMPR. ASSY.,61.08,76.805,400,1192,FORM-D,84099139
21,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E2420-01,WATER PUMP ASSY.,223.2,280.663,400,3080,,
22,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E2443-00,STAY,31.2,39.232,400,164,FORM-D,84099139
23,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E3300-01,OIL PUMP ASSY.,23.8,29.927,400,508,,
24,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E3324-00,"GEAR,DRIVE                    ",36.4,45.771,400,216,FORM-D,84834090
25,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E3585-00,MANIFOLD,32,40.238,400,516,FORM-D,87141090
26,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E3750-03,THROTTLE BODY ASSY.,112,140.834,400,5528,FORM-D,84099139
27,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E4199-00,GSKT.,4.8,6.036,400,16,FORM-D,84849000
28,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E5113-00,PLATE,4,5.03,400,44,FORM-D,84099139
29,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E5441-00,"HOLDER,CLUTCH WIRE            ",1.2,1.509,400,88,FORM-D,87141090
30,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E6300-00,CLUTCH ASSY.,804.8,1011.995,400,8344,FORM-D,87141090
31,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E6345-00,"SPRG.,LEVER RETURN            ",1.2,1.509,400,20,FORM-D,73209010
32,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-E8540-10,SHIFT CAM ASSY.,204,256.52,400,1712,FORM-D,84836000
33,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-H1410-02,STATOR ASSY.,200,251.49,400,2912,FORM-D,84099139
34,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-H1450-01,ROTOR ASSY.,800,1005.959,400,4052,FORM-D,84099139
35,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,2PV-H1800-02,STARTING MOTOR ASSY.,240,301.788,400,3560,FORM-D,85365095
36,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,3C1-E1549-10,"SPROCKET,CAM CHAIN            ",16,20.119,400,468,FORM-D,87141090
37,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,3C1-E1651-11,"ROD,CONNECTING 1              ",33.6,42.25,400,1136,FORM-D,84099139
38,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,3C1-E2256-00,"COVER,CHAIN                   ",2.4,3.018,400,20,FORM-D,84099135
39,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,3C1-E6111-00,"GEAR,PRIMARY DRIVE            ",4.4,5.533,400,1108,FORM-D,84834090
40,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,3C1-E7471-00,"PLATE,COVER                   ",1.2,1.509,400,32,FORM-D,84099139
41,BFYGA1P1,COMPONENT PARTS FOR YAMAHA MOTOR CYCLE,B17GB2,010A,3C1-E8337-00,SPRG.,0.8,1.006,400,16,FORM-D,73209010
